Product Name,Initial Stock,Cost Per Item,Storage Cost Per Day,Stockout Penalty,Historical Demand (semicolon separated)
Device G964,375,38.37,1.95,17.43,42;30;32;44;30;48;41;12;6;10;23;12;28;28;12;30;16;50;28;42;36;11;42;20;41;37;19;24;5;17
Gadget N50,348,82.57,1.05,8.87,19;46;18;43;33;43;28;19;5;31;29;43;33;20;10;28;28;47;47;38;20;39;44;28;13;10;11;35;26;29
Tool D806,172,53.87,1.06,3.28,47;13;26;19;25;27;49;32;44;30;13;49;18;13;47;41;46;33;29;14;8;36;27;39;34;39;40;37;28;39
Device B662,363,35.47,0.45,8.86,37;25;19;45;13;23;17;24;26;26;43;28;50;32;7;13;19;30;25;28;16;22;39;37;18;46;32;46;37;28
Item R50,57,89.45,0.81,5.33,10;40;33;31;40;33;29;9;8;20;41;19;39;29;49;16;35;23;40;30;34;11;32;45;26;28;7;5;41;25
Item T718,291,19.15,0.64,14.13,41;14;33;13;22;42;12;41;28;8;9;9;23;36;41;25;11;14;17;16;33;9;23;22;45;7;16;30;36;44
Tool H811,232,85.87,0.98,15.58,39;13;36;22;18;43;39;26;6;21;38;21;29;15;45;18;29;10;31;49;10;19;12;50;5;40;38;49;33;44
Tool B747,274,14.06,0.11,14.97,21;33;13;30;37;40;49;41;19;45;32;42;17;28;33;10;32;42;5;29;46;19;11;12;6;25;37;50;24;36
Widget N449,461,71.65,1.71,18.28,24;37;35;46;49;26;31;24;46;38;9;6;31;42;8;16;10;10;24;16;25;10;20;10;17;27;5;31;44;21
Gadget B976,467,50.53,0.4,21.51,47;39;42;11;15;42;17;22;43;11;33;36;26;44;17;25;39;16;49;50;5;37;17;34;15;28;14;12;29;16
Tool B5,306,66.4,0.9,10.78,26;16;20;47;10;8;27;41;33;36;35;44;46;17;9;40;23;40;12;33;43;23;35;50;12;12;5;8;49;26
Gadget Y101,371,91.75,1.59,9.23,44;18;21;50;9;40;15;11;40;28;9;8;50;46;17;42;18;21;50;21;15;45;35;17;40;8;18;26;6;36
Gadget V577,260,33.88,1.78,11.06,27;27;26;26;50;35;9;44;23;21;21;44;13;8;18;11;28;10;22;36;44;7;16;48;21;13;39;45;12;50
Item J26,79,7.06,1.06,19.02,48;37;32;13;44;9;39;6;23;40;39;49;25;12;33;11;35;35;47;23;45;7;23;49;27;49;43;33;26;36
Tool C210,351,26.38,1.84,18.67,26;10;50;39;39;39;20;32;43;19;47;47;26;11;20;14;42;39;20;17;26;43;7;42;32;11;39;6;6;19
Item Q646,337,80.28,0.71,2.34,49;5;22;28;32;22;15;44;10;43;19;31;49;46;25;26;17;12;14;44;33;47;8;41;16;18;14;7;32;21
Device W96,419,69.12,0.97,23.89,9;38;47;34;48;12;8;38;29;42;48;41;44;46;11;32;44;16;26;29;49;29;26;19;23;39;37;35;12;48
Widget C270,267,8.23,1.53,14.85,29;11;36;15;38;25;32;21;8;22;32;36;43;32;19;21;26;35;35;16;36;42;23;16;35;41;48;12;16;45
Device T691,217,42.49,1.57,9.98,12;32;17;47;24;36;14;47;16;44;16;30;23;25;10;31;18;42;18;45;6;40;38;20;26;46;8;42;11;9
Widget B202,420,95.25,0.59,24.41,30;28;20;7;7;30;26;20;7;13;28;32;10;30;8;8;7;6;16;42;34;30;35;40;10;37;32;46;34;37
Widget H366,180,94.75,1.57,18.29,23;47;37;41;26;24;36;10;34;7;18;18;49;42;30;10;41;22;42;38;22;34;18;27;17;18;32;40;38;50
Gadget O273,484,39.2,1.44,21.64,21;35;15;26;33;47;44;23;23;33;15;42;28;15;25;42;13;6;39;29;22;46;14;5;33;20;20;7;36;13
Gadget L700,302,44.01,0.45,19.3,49;42;43;38;26;31;24;36;7;48;32;14;12;12;49;13;19;26;37;44;19;30;34;42;11;6;29;6;49;7
Gadget H692,28,69.28,1.8,8.15,31;23;30;31;5;12;10;50;49;19;25;29;37;43;28;20;6;6;33;33;19;47;33;14;15;12;47;21;42;34
Widget Z221,340,92.93,0.83,8.54,35;21;33;26;47;5;37;44;12;27;47;18;24;21;17;23;31;18;33;36;50;38;30;41;16;30;34;50;23;48
Device H79,286,78.08,1.6,9.43,11;23;18;33;14;14;15;9;26;27;30;25;22;42;25;21;21;5;28;23;7;12;45;25;19;32;49;28;19;10
Item E118,324,32.9,1.88,8.38,44;17;11;26;39;10;46;8;14;16;28;40;21;49;14;9;27;27;37;31;49;33;44;14;6;49;21;31;44;13
Gadget C558,262,16.28,0.43,11.81,7;16;49;11;12;50;37;26;50;15;13;41;25;33;11;17;25;31;18;44;44;35;40;29;20;13;45;50;30;20
Item U934,422,56.99,0.93,8.33,49;50;23;34;48;41;33;39;22;36;35;38;46;45;35;38;42;41;37;29;41;22;44;14;39;38;45;47;21;47
Gadget Y199,368,90.08,0.82,8.69,9;31;18;8;21;27;34;30;26;26;10;37;16;44;21;27;38;22;46;44;47;8;19;19;17;45;34;10;11;6
Tool F376,192,16.57,0.59,19.26,36;9;38;29;44;21;50;24;20;23;8;12;15;33;15;8;46;39;35;26;14;29;22;48;13;28;26;34;6;6
Item C528,240,74.3,1.03,20.18,46;21;46;48;23;19;14;37;13;33;21;42;14;13;23;21;45;44;40;42;9;35;27;42;46;5;22;36;11;16
Item C463,446,27.76,1.24,7.3,13;40;36;12;8;17;48;24;43;10;45;29;48;6;39;19;38;13;22;8;15;6;14;9;44;28;33;9;9;47
Item I628,295,28.24,1.18,11.14,29;7;24;43;32;16;22;50;17;29;11;6;50;38;31;42;48;13;19;30;11;21;18;12;50;27;14;16;50;46
Widget P494,407,43.3,1.56,3.0,36;20;21;41;7;37;33;5;30;33;28;35;19;33;47;17;21;38;46;17;26;10;45;43;47;38;31;45;15;18
Widget O246,425,53.62,0.73,5.39,22;31;20;29;50;40;34;7;32;9;28;37;6;28;8;20;45;20;30;10;47;26;39;14;46;45;17;19;42;24
Gadget H429,272,7.19,1.21,24.2,49;41;11;12;29;13;25;15;18;43;39;21;33;17;14;37;34;43;18;27;12;20;19;14;49;47;47;19;24;49
Gadget Q678,244,9.79,1.01,19.3,32;42;11;40;46;50;26;15;47;18;44;47;12;32;10;22;45;38;20;15;31;15;33;17;40;25;26;10;23;47
Tool S366,119,27.06,1.36,23.98,28;49;37;6;5;27;6;45;50;6;35;43;39;7;5;45;47;33;50;18;32;6;42;23;22;40;12;48;20;14
Tool Z839,444,57.73,1.39,3.21,28;43;46;46;17;32;50;21;45;32;42;49;10;26;24;43;18;17;39;30;25;23;31;45;5;46;20;10;31;13
Item O459,63,95.34,0.43,13.18,32;21;39;9;21;19;7;18;8;18;43;5;10;36;42;13;34;20;50;41;17;40;14;36;21;31;42;43;34;13
Device F108,493,46.49,0.49,15.29,36;31;47;44;14;45;41;14;43;43;46;36;8;34;28;20;8;11;28;7;19;18;40;11;13;45;39;24;25;32
Widget E397,218,48.81,0.79,8.54,16;42;29;14;33;39;49;8;44;33;8;16;13;42;42;33;50;41;50;19;45;29;14;9;30;5;40;7;34;8
Item D657,410,70.54,0.26,15.14,15;30;34;17;20;19;35;39;46;20;27;20;19;11;45;39;31;25;26;35;10;30;28;43;29;39;31;12;45;28
Tool D934,169,34.57,0.71,14.8,26;10;26;14;46;49;6;38;16;25;18;25;8;50;33;29;31;11;17;34;50;49;16;38;26;31;42;8;50;24
Item H83,337,63.85,1.07,18.79,27;43;8;48;6;16;7;13;31;29;18;27;35;50;39;27;46;30;11;12;13;23;49;42;17;18;32;13;32;24
Gadget Y855,298,55.73,1.42,21.81,6;12;36;21;12;43;9;9;31;27;13;50;6;13;38;6;38;23;33;15;32;5;32;29;15;27;49;27;29;11
Device B788,118,67.85,1.94,17.71,19;18;9;24;14;23;31;44;45;43;16;23;9;40;35;42;15;26;48;18;10;47;43;6;29;14;50;36;45;50
Item E286,349,50.5,0.9,23.86,28;7;25;9;24;36;17;6;29;24;44;28;50;22;7;46;26;10;18;25;5;35;13;46;10;13;8;11;20;42
Item N443,447,22.06,0.89,15.84,10;39;22;11;14;20;35;29;25;7;38;34;27;34;39;47;22;34;8;21;13;7;39;10;27;47;24;46;5;38
Device Y508,197,46.58,0.48,21.75,5;40;29;27;24;43;19;43;40;20;40;39;42;37;20;16;33;38;28;18;46;13;17;29;39;37;7;25;42;22
Gadget I494,124,59.43,1.71,24.53,44;34;33;23;20;47;32;11;27;35;32;50;40;7;38;24;24;43;37;7;23;11;13;41;22;8;28;40;44;49
Widget I230,289,74.01,0.26,8.08,29;44;14;37;45;42;14;6;24;24;31;48;14;10;41;13;11;5;31;33;27;47;16;31;43;12;13;6;35;17
Widget M654,286,9.53,0.81,19.92,9;49;26;6;34;23;40;17;8;41;46;23;22;15;11;33;30;40;9;20;34;24;39;34;30;18;35;14;30;27
Item D185,260,63.93,1.98,9.72,42;34;39;31;42;10;48;20;45;9;34;31;44;10;15;17;28;28;43;43;23;37;30;23;45;39;39;37;9;7
Device J721,460,81.91,0.66,10.56,22;41;25;28;50;29;42;38;18;47;34;50;39;43;46;39;13;38;25;38;49;13;5;49;11;35;43;46;46;41
Device G479,297,10.3,1.84,18.14,9;9;15;50;23;31;40;24;16;12;14;45;19;11;29;47;33;38;12;23;5;17;24;48;46;9;50;31;31;33
Item J212,333,24.99,1.61,3.76,10;16;44;29;7;16;48;29;34;49;35;7;29;37;50;36;16;31;47;21;37;40;43;19;26;20;17;39;8;6
Gadget Y619,314,91.66,1.18,13.93,35;20;43;31;36;42;41;45;26;32;29;29;15;31;44;13;25;22;15;7;45;43;31;38;38;26;30;34;19;22
Gadget T704,346,62.25,0.14,6.31,15;43;46;30;47;11;48;9;28;31;8;22;38;49;47;34;7;24;7;24;50;44;31;40;28;25;44;13;7;8
Widget Y45,361,42.03,0.51,5.05,36;6;42;18;7;49;35;23;33;42;20;47;25;14;11;39;28;45;28;5;40;38;20;7;19;22;34;45;14;22
Tool K11,431,28.47,0.79,3.18,28;18;9;29;21;17;8;25;38;36;42;44;29;40;13;40;44;27;28;20;30;28;8;5;8;28;15;18;9;46
Device K160,198,87.72,1.92,23.39,44;28;30;20;40;48;44;42;5;6;10;48;50;24;33;24;13;19;7;28;21;5;18;18;21;13;48;33;15;48
Item I733,297,54.43,1.02,18.97,36;14;12;13;26;47;41;45;45;38;50;43;6;40;48;10;17;30;11;34;38;33;20;23;18;20;15;46;24;16
Widget C461,336,10.45,0.36,18.93,23;6;8;40;39;18;14;50;20;44;48;9;8;26;7;10;29;7;10;48;11;26;8;28;35;50;16;7;34;44
Gadget B406,341,43.75,1.22,11.02,8;23;40;37;28;11;12;49;12;44;6;35;49;28;22;38;29;42;9;46;17;43;33;17;49;43;35;38;8;26
Device M707,61,82.73,1.78,17.66,9;41;18;47;45;47;13;24;7;44;17;21;40;14;33;12;13;15;33;8;17;13;32;46;21;27;35;15;34;36
Tool Q63,165,58.25,1.01,7.73,46;48;12;38;47;38;33;27;26;36;18;5;11;45;43;44;23;49;43;24;21;31;44;23;18;19;32;18;42;36
Widget X676,472,17.01,0.82,12.77,14;10;49;22;47;44;41;41;32;34;50;5;11;20;50;38;32;14;17;31;30;22;31;28;37;34;44;32;29;28
Tool W866,490,34.24,1.03,4.79,37;22;23;25;44;22;10;9;12;11;43;39;34;5;46;13;41;42;32;35;49;5;8;27;26;17;25;20;25;42
Device K679,57,57.96,1.36,10.27,14;32;34;25;49;34;41;33;47;16;14;15;26;38;32;41;15;29;40;22;5;50;32;37;43;6;28;44;43;13
Gadget Q965,468,25.98,1.16,14.02,5;25;23;10;43;25;40;22;30;30;50;13;14;13;10;46;25;22;50;16;8;27;16;6;14;33;38;45;30;12
Device F380,210,45.74,1.21,18.85,36;14;46;41;43;9;6;33;13;13;44;17;25;23;35;5;35;46;22;5;14;48;32;17;9;12;30;48;15;6
Tool G803,469,88.54,0.8,18.92,32;40;24;48;50;24;10;10;36;47;19;49;18;16;32;11;28;45;46;49;6;38;47;18;11;6;10;16;34;29
Device A178,241,37.81,0.23,18.06,41;30;23;26;5;18;17;9;15;17;41;50;35;34;42;16;32;30;31;47;9;29;26;43;9;23;50;42;33;50
Gadget Z767,461,50.57,1.83,8.54,45;40;35;37;33;6;17;12;25;30;19;38;29;20;36;49;14;23;16;37;28;31;40;19;44;7;25;8;40;40
Tool H666,298,61.66,1.64,20.53,7;14;34;22;47;47;9;12;14;46;39;19;22;40;17;7;15;27;18;44;20;37;26;22;49;44;26;42;29;48
Tool J92,142,13.66,0.11,6.52,49;25;25;16;19;40;36;23;44;26;38;16;44;11;13;48;42;6;35;47;15;41;49;28;19;32;50;43;32;15
Gadget N672,414,44.66,0.49,7.31,14;24;20;12;40;28;31;27;46;25;7;42;46;14;15;18;9;15;26;36;48;29;40;46;50;33;40;28;14;13
Gadget I808,398,90.04,1.34,3.63,16;36;39;38;22;48;50;33;14;11;14;24;5;49;34;20;30;31;21;8;20;15;39;20;37;14;26;23;24;25
Item J205,252,66.61,1.88,12.87,38;41;42;13;39;25;11;30;14;43;48;18;9;31;30;9;25;39;40;18;43;18;19;36;23;6;23;16;6;42
Gadget M932,224,20.64,0.63,2.15,32;26;42;35;31;6;46;39;44;42;34;19;28;38;27;47;12;18;11;5;43;43;10;16;29;5;23;7;16;15
Widget Q366,287,53.31,0.92,17.23,9;19;26;9;44;13;30;32;6;35;10;47;7;34;47;28;49;47;25;37;37;41;16;25;43;13;49;23;13;17
Tool A160,24,78.98,1.01,24.37,33;42;34;27;48;15;30;26;21;6;33;33;48;43;30;16;12;44;14;46;41;15;10;9;46;6;38;30;6;39
Device U233,490,11.43,0.11,3.89,39;22;43;15;13;49;41;5;21;9;23;24;38;50;16;14;38;27;10;11;10;44;21;48;16;21;13;17;38;34
Device S602,200,64.32,0.94,20.42,16;21;42;37;44;7;9;23;49;47;10;34;9;38;33;35;22;5;43;8;19;39;50;8;49;25;38;45;24;40
Device Z845,394,10.42,1.25,14.19,28;31;37;35;12;29;43;5;11;34;29;36;50;16;20;22;26;30;33;35;48;30;20;33;10;22;13;50;6;36
Item U372,174,89.34,0.65,3.52,46;7;5;15;46;20;12;38;49;22;38;25;26;30;43;27;10;8;34;39;29;33;7;36;20;38;27;20;38;48
Device K539,383,33.06,0.82,10.37,37;45;30;32;49;11;49;47;48;37;41;14;32;29;21;41;24;43;12;34;27;37;9;41;14;7;14;27;10;7
Widget B164,124,23.51,1.22,9.79,33;23;22;12;27;43;18;13;35;15;22;24;15;10;17;28;28;47;26;35;44;36;16;23;28;39;43;31;29;48
Device M241,441,99.18,1.25,20.91,18;23;24;8;31;10;50;41;14;12;40;7;49;35;13;8;27;11;13;22;18;47;20;8;47;15;49;41;44;23
Item Z230,103,71.62,1.79,11.28,20;45;25;44;36;26;34;48;47;38;23;14;23;46;49;28;45;31;49;11;45;32;15;34;33;39;22;25;49;21
Widget A830,438,67.27,0.52,12.51,47;5;20;29;33;21;38;19;39;17;36;49;27;16;10;33;39;13;17;43;40;30;32;37;35;16;47;5;31;19
Tool H778,96,56.7,1.5,23.49,45;42;21;7;38;42;36;10;21;47;43;17;22;28;37;24;42;39;14;43;47;14;24;30;15;32;7;5;14;44
Item V977,40,72.05,0.62,6.2,24;38;7;38;38;38;17;18;23;48;13;44;18;10;48;40;26;13;46;41;17;37;38;32;32;21;14;26;48;14
Tool F360,63,72.86,0.84,5.43,38;13;21;28;43;41;45;36;14;50;46;31;9;7;43;25;36;12;15;49;44;11;15;40;11;33;12;13;44;19
Widget U723,392,90.22,0.76,11.26,49;15;20;7;26;30;18;45;27;38;9;20;45;47;11;41;34;47;50;17;26;50;46;9;49;22;11;27;33;38
Widget S230,208,53.18,0.55,21.07,17;11;34;26;20;42;25;24;50;40;12;24;15;6;29;8;35;13;12;48;43;24;8;49;30;23;48;14;38;26
Item R424,208,34.15,0.73,16.19,8;31;39;33;47;25;10;21;41;24;40;41;38;27;10;22;40;50;5;34;27;46;44;22;17;44;32;5;42;12
Widget Z789,107,7.89,1.32,19.48,24;14;46;48;35;21;8;45;21;47;30;38;12;22;5;41;33;14;39;28;44;15;9;24;48;35;30;37;43;34
